Actual X,Actual Y,Actual Z,Actual surface normal X,Actual surface normal Y,mATERIALCONDITION mat
-44.01184,1.07030,-5.00000,-0.99966,0.02597,0.02379
-43.98321,1.89763,-5.00000,-0.99905,0.04350,0.02248
-43.94015,2.71105,-5.00000,-0.99805,0.06235,0.02177
-43.88102,3.53036,-5.00000,-0.99666,0.08161,0.02083
-43.80846,4.32738,-5.00000,-0.99504,0.09952,0.01984
-43.72059,5.13317,-5.00000,-0.99309,0.11738,0.01936
-43.61582,5.95293,-5.00000,-0.99067,0.13632,0.01905
-43.49514,6.77006,-5.00000,-0.98780,0.15572,0.01821
-43.35902,7.58680,-5.00000,-0.98498,0.17266,0.01764
-43.21293,8.37833,-5.00000,-0.98159,0.19101,0.01804
-43.04437,9.19884,-5.00000,-0.97749,0.21097,0.01723
-42.86751,9.98464,-5.00000,-0.97366,0.22801,0.01635
-42.67794,10.76418,-5.00000,-0.96959,0.24474,0.01631
-42.46850,11.56081,-5.00000,-0.96449,0.26410,0.01615
-42.24631,12.34277,-5.00000,-0.95938,0.28211,0.01499
-42.00196,13.14668,-5.00000,-0.95410,0.29950,0.01417
-41.75276,13.91606,-5.00000,-0.94841,0.31704,0.01375
-41.48045,14.70442,-5.00000,-0.94197,0.33571,0.01262
-41.19144,15.49154,-5.00000,-0.93543,0.35352,0.01111
-40.89152,16.26461,-5.00000,-0.92904,0.36999,0.01012
-40.58176,17.02067,-5.00000,-0.92166,0.38799,0.00900
-40.26087,17.76330,-5.00000,-0.91424,0.40517,0.00735
-39.91427,18.52644,-5.00000,-0.90666,0.42186,0.00577
-39.55952,19.27061,-5.00000,-0.89855,0.43886,0.00450
-39.18506,20.01867,-5.00000,-0.88991,0.45613,0.00286
-38.81384,20.72731,-5.00000,-0.88162,0.47196,0.00144
-38.43018,21.42825,-5.00000,-0.87268,0.48829,0.00002
-38.02508,22.13670,-5.00000,-0.86349,0.50437,-0.00153
-37.60271,22.84477,-5.00000,-0.85406,0.52018,-0.00276
-37.17592,23.53122,-5.00000,-0.84432,0.53584,-0.00371
-36.72291,24.23011,-5.00000,-0.83389,0.55194,-0.00477
-36.26111,24.91376,-5.00000,-0.82339,0.56748,-0.00589
-35.78110,25.59641,-5.00000,-0.81259,0.58284,-0.00690
-35.30335,26.24980,-5.00000,-0.80179,0.59761,-0.00774
-34.81801,26.88869,-5.00000,-0.79072,0.61218,-0.00856
-34.32352,27.51550,-5.00000,-0.77944,0.62647,-0.00947
-33.81509,28.13646,-5.00000,-0.76797,0.64048,-0.01036
-33.28586,28.75934,-5.00000,-0.75608,0.65448,-0.01113
-32.73506,29.38362,-5.00000,-0.74355,0.66868,-0.01184
-32.17825,29.99113,-5.00000,-0.73077,0.68262,-0.01265
-31.62195,30.57574,-5.00000,-0.71803,0.69601,-0.01355
-31.04572,31.15919,-5.00000,-0.70492,0.70929,-0.01452
-30.45403,31.73642,-5.00000,-0.69167,0.72221,-0.01534
-29.86428,32.29115,-5.00000,-0.67853,0.73457,-0.01580
-29.25877,32.84005,-5.00000,-0.66456,0.74724,-0.01621
-28.65143,33.36994,-5.00000,-0.65032,0.75966,-0.01707
-28.01753,33.90239,-5.00000,-0.63607,0.77163,-0.01816
-27.38831,34.41175,-5.00000,-0.62222,0.78285,-0.01886
-26.74997,34.90964,-5.00000,-0.60768,0.79418,-0.01937
-26.10318,35.39501,-5.00000,-0.59276,0.80538,-0.02012
-25.42967,35.88100,-5.00000,-0.57755,0.81635,-0.02101
-24.76069,36.34517,-5.00000,-0.56249,0.82680,-0.02173
-24.09047,36.79217,-5.00000,-0.54715,0.83703,-0.02244
-23.39259,37.23898,-5.00000,-0.53124,0.84722,-0.02328
-22.68796,37.67172,-5.00000,-0.51538,0.85696,-0.02403
-21.97385,38.09214,-5.00000,-0.49922,0.86647,-0.02457
-21.25513,38.49728,-5.00000,-0.48282,0.87572,-0.02502
-20.52808,38.88924,-5.00000,-0.46623,0.88466,-0.02547
-19.81691,39.25579,-5.00000,-0.45003,0.89301,-0.02591
-19.07771,39.61966,-5.00000,-0.43321,0.90129,-0.02637
-18.33889,39.96636,-5.00000,-0.41639,0.90919,-0.02686
-17.57587,40.30705,-5.00000,-0.39901,0.91695,-0.02742
-16.82369,40.62613,-5.00000,-0.38201,0.92416,-0.02797
-16.05413,40.93588,-5.00000,-0.36475,0.93111,-0.02840
-15.28025,41.23079,-5.00000,-0.34740,0.93772,-0.02865
-14.51015,41.50795,-5.00000,-0.32974,0.94407,-0.02885
-13.72946,41.77217,-5.00000,-0.31148,0.95025,-0.02942
-12.96001,42.01675,-5.00000,-0.29454,0.95564,-0.03002
-12.17663,42.25057,-5.00000,-0.27715,0.96083,-0.02997
-11.40413,42.46533,-5.00000,-0.25842,0.96603,-0.03026
-10.61878,42.66766,-5.00000,-0.24093,0.97054,-0.03102
