Actual X,Actual Y,Actual Z,Actual surface normal X,Actual surface normal Y,Materialcondition MAT
-24.98354,1.06005,-5.00000,0.99905,-0.04360,-0.00482
-24.94968,1.66946,-5.00000,0.99773,-0.06730,-0.00392
-24.90072,2.28374,-5.00000,0.99579,-0.09171,-0.00359
-24.83750,2.88828,-5.00000,0.99322,-0.11629,-0.00335
-24.75895,3.49451,-5.00000,0.99006,-0.14064,-0.00308
-24.66349,4.11158,-5.00000,0.98629,-0.16499,-0.00297
-24.55357,4.72353,-5.00000,0.98208,-0.18845,-0.00333
-24.42859,5.33468,-5.00000,0.97710,-0.21278,-0.00429
-24.28943,5.93393,-5.00000,0.97072,-0.24021,-0.00420
-24.12984,6.54335,-5.00000,0.96432,-0.26473,-0.00218
-23.95879,7.14688,-5.00000,0.96014,-0.27953,-0.00334
-23.77850,7.73967,-5.00000,0.95202,-0.30603,-0.00809
-23.57380,8.32967,-5.00000,0.93722,-0.34874,-0.00421
-23.45628,8.63933,-5.00000,0.93346,-0.35869,0.00106
-23.33754,8.94881,-5.00000,0.93466,-0.35555,0.00318
-23.12477,9.52311,-5.00000,0.93675,-0.35000,-0.01146
-22.89026,10.08931,-5.00000,0.90271,-0.43026,-0.01779
-22.60226,10.63729,-5.00000,0.88409,-0.46731,0.01717
-22.34866,11.21698,-5.00000,0.95206,-0.30593,-0.00801
-22.19362,11.85081,-5.00000,0.98035,-0.19728,-0.16145
-22.05466,12.48977,-5.00000,0.96609,-0.25821,-0.34719
-21.82163,13.07422,-5.00000,0.85781,-0.51397,-0.43953
-21.40164,13.55758,-5.00000,0.66691,-0.74514,-0.33496
-20.90828,13.96950,-5.00000,0.64311,-0.76577,-0.14555
-20.44221,14.40032,-5.00000,0.72668,-0.68698,-0.00452
-20.06066,14.88655,-5.00000,0.82900,-0.55926,0.02004
-19.71047,15.40234,-5.00000,0.80233,-0.59689,-0.01376
-19.31359,15.88067,-5.00000,0.74906,-0.66250,-0.00330
-18.90465,16.35055,-5.00000,0.76293,-0.64649,0.00628
-18.50392,16.81747,-5.00000,0.74677,-0.66508,-0.00379
-18.08343,17.26545,-5.00000,0.71565,-0.69846,-0.00161
-17.65154,17.70225,-5.00000,0.70838,-0.70584,0.00146
-17.21376,18.13285,-5.00000,0.69095,-0.72290,-0.00198
-16.75405,18.55701,-5.00000,0.66714,-0.74494,-0.00096
-16.29741,18.95847,-5.00000,0.65392,-0.75657,-0.00035
-15.81576,19.36456,-5.00000,0.63342,-0.77380,-0.00225
-15.32959,19.75065,-5.00000,0.61143,-0.79130,-0.00144
-14.84888,20.11420,-5.00000,0.59493,-0.80377,-0.00120
-13.92782,20.76364,-5.00000,0.55657,-0.83080,-0.00230
-13.42326,21.09279,-5.00000,0.53636,-0.84399,-0.00201
-12.90843,21.41190,-5.00000,0.51750,-0.85569,-0.00234
-12.38147,21.72201,-5.00000,0.49612,-0.86826,-0.00346
-11.83408,22.02487,-5.00000,0.47256,-0.88130,-0.00341
-11.29331,22.30679,-5.00000,0.45212,-0.89196,-0.00324
-10.73541,22.58130,-5.00000,0.43059,-0.90255,-0.00381
-10.17452,22.84009,-5.00000,0.40680,-0.91352,-0.00420
-9.59937,23.08713,-5.00000,0.38322,-0.92366,-0.00348
-9.03471,23.31416,-5.00000,0.36251,-0.93198,-0.00353
-8.46055,23.52934,-5.00000,0.33908,-0.94076,-0.00405
-7.87587,23.73137,-5.00000,0.31378,-0.94950,-0.00387
-7.30158,23.91379,-5.00000,0.29305,-0.95610,-0.00337
-6.70960,24.08774,-5.00000,0.26940,-0.96303,-0.00457
-6.12459,24.24323,-5.00000,0.24453,-0.96964,-0.00484
-5.51880,24.38818,-5.00000,0.22127,-0.97521,-0.00490
-4.92478,24.51566,-5.00000,0.19806,-0.98019,-0.00564
-4.32092,24.62965,-5.00000,0.17284,-0.98495,-0.00610
-3.72422,24.72700,-5.00000,0.14935,-0.98878,-0.00620
-3.10037,24.81335,-5.00000,0.12461,-0.99221,-0.00657
-2.49527,24.88183,-5.00000,0.10034,-0.99495,-0.00682
-1.89086,24.93539,-5.00000,0.07612,-0.99710,-0.00703
-1.26665,24.97508,-5.00000,0.05081,-0.99871,-0.00709
-0.64869,24.99884,-5.00000,0.02615,-0.99966,-0.00704
-0.03416,25.00753,-5.00000,0.00208,-1.00000,-0.00728
0.58031,25.00130,-5.00000,-0.02247,-0.99975,-0.00781
1.19361,24.97987,-5.00000,-0.04734,-0.99888,-0.00827
1.81601,24.94256,-5.00000,-0.07224,-0.99739,-0.00865
2.41679,24.89182,-5.00000,-0.09613,-0.99537,-0.00907
3.02761,24.82520,-5.00000,-0.12078,-0.99268,-0.00945
3.65013,24.74143,-5.00000,-0.14580,-0.98931,-0.00961
4.25409,24.64498,-5.00000,-0.16948,-0.98553,-0.00982
4.85663,24.53382,-5.00000,-0.19352,-0.98110,-0.01021
5.47005,24.40457,-5.00000,-0.21880,-0.97577,-0.01028
6.06387,24.26381,-5.00000,-0.24221,-0.97022,-0.01010
6.65426,24.10917,-5.00000,-0.26477,-0.96431,-0.01051
7.25399,23.93614,-5.00000,-0.29003,-0.95702,-0.01095
7.83057,23.75330,-5.00000,-0.31394,-0.94944,-0.01046
8.41552,23.55249,-5.00000,-0.33517,-0.94216,-0.01061
8.99136,23.33976,-5.00000,-0.35852,-0.93352,-0.01171
9.57390,23.10673,-5.00000,-0.38374,-0.92344,-0.01170
10.13729,22.86488,-5.00000,-0.40471,-0.91444,-0.01158
10.69738,22.60903,-5.00000,-0.42673,-0.90438,-0.01237
