NOM_X, NOM_Y, NOM_Z,ACT_X,ACT_Y,ACT_Z, NOM_I, NOM_J, NOM_K,ACT_I, ACT_J, ACT_K,MAT
27.00000, 124.00000, 0.00000,27.00000,124.00000,0.06555, 0.00000, 0.00000, 1.00000,0.00000, -0.00021, 1.00000,0.06555
27.00000, 121.98374, 0.00000,27.00000,121.98374,0.06494, 0.00000, 0.00000, 1.00000,0.00000, -0.00033, 1.00000,0.06494
27.00000, 119.96748, 0.00000,27.00000,119.96748,0.06438, 0.00000, 0.00000, 1.00000,0.00000, -0.00022, 1.00000,0.06438
27.00000, 117.95122, 0.00000,27.00000,117.95122,0.06399, 0.00000, 0.00000, 1.00000,0.00000, -0.00014, 1.00000,0.06399
27.00000, 115.93496, 0.00000,27.00000,115.93496,0.06394, 0.00000, 0.00000, 1.00000,0.00000, 0.00000, 1.00000,0.06394
27.00000, 113.91870, 0.00000,27.00000,113.91870,0.06349, 0.00000, 0.00000, 1.00000,0.00000, -0.00032, 1.00000,0.06349
27.00000, 111.90244, 0.00000,27.00000,111.90244,0.06340, 0.00000, 0.00000, 1.00000,0.00000, 0.00011, 1.00000,0.06340
27.00000, 109.88618, 0.00000,27.00000,109.88618,0.06322, 0.00000, 0.00000, 1.00000,0.00000, -0.00021, 1.00000,0.06322
27.00000, 107.86992, 0.00000,27.00000,107.86992,0.06297, 0.00000, 0.00000, 1.00000,0.00000, -0.00010, 1.00000,0.06297
27.00000, 105.85366, 0.00000,27.00000,105.85366,0.06260, 0.00000, 0.00000, 1.00000,0.00000, -0.00020, 1.00000,0.06260
27.00000, 103.83740, 0.00000,27.00000,103.83740,0.06246, 0.00000, 0.00000, 1.00000,0.00000, 0.00013, 1.00000,0.06246
27.00000, 101.82114, 0.00000,27.00000,101.82114,0.06269, 0.00000, 0.00000, 1.00000,0.00000, -0.00026, 1.00000,0.06269
27.00000, 99.80488, 0.00000,27.00000,99.80488,0.06173, 0.00000, 0.00000, 1.00000,0.00000, -0.00007, 1.00000,0.06173
27.00000, 97.78862, 0.00000,27.00000,97.78862,0.06218, 0.00000, 0.00000, 1.00000,0.00000, -0.00018, 1.00000,0.06218
27.00000, 95.77236, 0.00000,27.00000,95.77236,0.06118, 0.00000, 0.00000, 1.00000,0.00000, -0.00010, 1.00000,0.06118
27.00000, 93.75610, 0.00000,27.00000,93.75610,0.06132, 0.00000, 0.00000, 1.00000,0.00000, -0.00038, 1.00000,0.06132
27.00000, 91.73984, 0.00000,27.00000,91.73984,0.06128, 0.00000, 0.00000, 1.00000,0.00000, 0.00036, 1.00000,0.06128
27.00000, 89.72358, 0.00000,27.00000,89.72358,0.06123, 0.00000, 0.00000, 1.00000,0.00000, -0.00014, 1.00000,0.06123
27.00000, 87.70732, 0.00000,27.00000,87.70732,0.06106, 0.00000, 0.00000, 1.00000,0.00000, -0.00011, 1.00000,0.06106
27.00000, 85.69106, 0.00000,27.00000,85.69106,0.06029, 0.00000, 0.00000, 1.00000,0.00000, -0.00058, 1.00000,0.06029
27.00000, 83.67480, 0.00000,27.00000,83.67480,0.06035, 0.00000, 0.00000, 1.00000,0.00000, 0.00042, 1.00000,0.06035
27.00000, 81.65854, 0.00000,27.00000,81.65854,0.06004, 0.00000, 0.00000, 1.00000,0.00000, -0.00038, 1.00000,0.06004
27.00000, 79.64228, 0.00000,27.00000,79.64228,0.05993, 0.00000, 0.00000, 1.00000,0.00000, 0.00007, 1.00000,0.05993
27.00000, 77.62602, 0.00000,27.00000,77.62602,0.06004, 0.00000, 0.00000, 1.00000,0.00000, 0.00006, 1.00000,0.06004
27.00000, 75.60976, 0.00000,27.00000,75.60976,0.05990, 0.00000, 0.00000, 1.00000,0.00000, -0.00026, 1.00000,0.05990
27.00000, 73.59350, 0.00000,27.00000,73.59350,0.05929, 0.00000, 0.00000, 1.00000,0.00000, -0.00021, 1.00000,0.05929
27.00000, 71.57724, 0.00000,27.00000,71.57724,0.05994, 0.00000, 0.00000, 1.00000,0.00000, 0.00043, 1.00000,0.05994
27.00000, 69.56098, 0.00000,27.00000,69.56098,0.05939, 0.00000, 0.00000, 1.00000,0.00000, 0.00050, 1.00000,0.05939
27.00000, 67.54472, 0.00000,27.00000,67.54472,0.05996, 0.00000, 0.00000, 1.00000,0.00000, -0.00034, 1.00000,0.05996
27.00000, 65.52846, 0.00000,27.00000,65.52846,0.05964, 0.00000, 0.00000, 1.00000,0.00000, 0.00023, 1.00000,0.05964
27.00000, 63.51220, 0.00000,27.00000,63.51220,0.05978, 0.00000, 0.00000, 1.00000,0.00000, -0.00019, 1.00000,0.05978
27.00000, 61.49593, 0.00000,27.00000,61.49593,0.05976, 0.00000, 0.00000, 1.00000,0.00000, 0.00018, 1.00000,0.05976
27.00000, 59.47967, 0.00000,27.00000,59.47967,0.05950, 0.00000, 0.00000, 1.00000,0.00000, -0.00040, 1.00000,0.05950
27.00000, 57.46341, 0.00000,27.00000,57.46341,0.05952, 0.00000, 0.00000, 1.00000,0.00000, 0.00040, 1.00000,0.05952
27.00000, 55.44715, 0.00000,27.00000,55.44715,0.05967, 0.00000, 0.00000, 1.00000,0.00000, -0.00031, 1.00000,0.05967
27.00000, 53.43089, 0.00000,27.00000,53.43089,0.05919, 0.00000, 0.00000, 1.00000,0.00000, -0.00003, 1.00000,0.05919
27.00000, 51.41463, 0.00000,27.00000,51.41463,0.05955, 0.00000, 0.00000, 1.00000,0.00000, 0.00020, 1.00000,0.05955
27.00000, 49.39837, 0.00000,27.00000,49.39837,0.05945, 0.00000, 0.00000, 1.00000,0.00000, -0.00003, 1.00000,0.05945
27.00000, 47.38211, 0.00000,27.00000,47.38211,0.05979, 0.00000, 0.00000, 1.00000,0.00000, -0.00017, 1.00000,0.05979
27.00000, 45.36585, 0.00000,27.00000,45.36585,0.05904, 0.00000, 0.00000, 1.00000,0.00000, 0.00023, 1.00000,0.05904
27.00000, 43.34959, 0.00000,27.00000,43.34959,0.05961, 0.00000, 0.00000, 1.00000,0.00000, -0.00041, 1.00000,0.05961
27.00000, 41.33333, 0.00000,27.00000,41.33333,0.05894, 0.00000, 0.00000, 1.00000,0.00000, 0.00026, 1.00000,0.05894
27.00000, 39.31707, 0.00000,27.00000,39.31707,0.05969, 0.00000, 0.00000, 1.00000,0.00000, 0.00019, 1.00000,0.05969
27.00000, 37.30081, 0.00000,27.00000,37.30081,0.05939, 0.00000, 0.00000, 1.00000,0.00000, -0.00028, 1.00000,0.05939
27.00000, 35.28455, 0.00000,27.00000,35.28455,0.05956, 0.00000, 0.00000, 1.00000,0.00000, 0.00018, 1.00000,0.05956
27.00000, 33.26829, 0.00000,27.00000,33.26829,0.05914, 0.00000, 0.00000, 1.00000,0.00000, -0.00021, 1.00000,0.05914
27.00000, 31.25203, 0.00000,27.00000,31.25203,0.05946, 0.00000, 0.00000, 1.00000,0.00000, 0.00016, 1.00000,0.05946
27.00000, 29.23577, 0.00000,27.00000,29.23577,0.05927, 0.00000, 0.00000, 1.00000,0.00000, -0.00012, 1.00000,0.05927
27.00000, 27.21951, 0.00000,27.00000,27.21951,0.05923, 0.00000, 0.00000, 1.00000,0.00000, 0.00001, 1.00000,0.05923
27.00000, 25.20325, 0.00000,27.00000,25.20325,0.05939, 0.00000, 0.00000, 1.00000,0.00000, 0.00024, 1.00000,0.05939
27.00000, 23.18699, 0.00000,27.00000,23.18699,0.05982, 0.00000, 0.00000, 1.00000,0.00000, -0.00003, 1.00000,0.05982
27.00000, 21.17073, 0.00000,27.00000,21.17073,0.05964, 0.00000, 0.00000, 1.00000,0.00000, 0.00014, 1.00000,0.05964
27.00000, 19.15447, 0.00000,27.00000,19.15447,0.05964, 0.00000, 0.00000, 1.00000,0.00000, -0.00050, 1.00000,0.05964
27.00000, 17.13821, 0.00000,27.00000,17.13821,0.05968, 0.00000, 0.00000, 1.00000,0.00000, 0.00110, 1.00000,0.05968
27.00000, 15.12195, 0.00000,27.00000,15.12195,0.06061, 0.00000, 0.00000, 1.00000,0.00000, -0.00086, 1.00000,0.06061
27.00000, 13.10569, 0.00000,27.00000,13.10569,0.05960, 0.00000, 0.00000, 1.00000,0.00000, 0.00029, 1.00000,0.05960
27.00000, 11.08943, 0.00000,27.00000,11.08943,0.05985, 0.00000, 0.00000, 1.00000,0.00000, 0.00009, 1.00000,0.05985
27.00000, 9.07317, 0.00000,27.00000,9.07317,0.05994, 0.00000, 0.00000, 1.00000,0.00000, -0.00065, 1.00000,0.05994
27.00000, 7.05691, 0.00000,27.00000,7.05691,0.05913, 0.00000, 0.00000, 1.00000,0.00000, 0.00042, 1.00000,0.05913
27.00000, 5.04065, 0.00000,27.00000,5.04065,0.05983, 0.00000, 0.00000, 1.00000,0.00000, -0.00009, 1.00000,0.05983
27.00000, 3.02439, 0.00000,27.00000,3.02439,0.05980, 0.00000, 0.00000, 1.00000,0.00000, 0.00020, 1.00000,0.05980
27.00000, 1.00000, 0.00000,27.00000,1.00000,0.05969, 0.00000, 0.00000, 1.00000,0.00000, -0.00034, 1.00000,0.05969
