index,act_actual_x_L,act_actual_y_L,act_actual_z_L,act_actual_x_R,act_actual_y_R,act_actual_z_R,act_actual_i_L,act_actual_j_L,act_actual_k_L,act_actual_i_R,act_actual_j_R,act_actual_k_R,act_d_x,act_d_y,act_d_z,act_d_norm,act_c_x,act_c_y,act_c_z,act_c_norm,act_dot_c_d,act_dot_n,act_angle_n_deg,act_A_L,act_B_L,act_C_L,act_A_R,act_B_R,act_C_R,act_A_c,act_B_c,act_C_c,nom_nominal_x_L,nom_nominal_y_L,nom_nominal_z_L,nom_nominal_x_R,nom_nominal_y_R,nom_nominal_z_R,nom_nominal_i_L,nom_nominal_j_L,nom_nominal_k_L,nom_nominal_i_R,nom_nominal_j_R,nom_nominal_k_R,nom_d_x,nom_d_y,nom_d_z,nom_d_norm,nom_c_x,nom_c_y,nom_c_z,nom_c_norm,nom_dot_c_d,nom_dot_n,nom_angle_n_deg,nom_A_L,nom_B_L,nom_C_L,nom_A_R,nom_B_R,nom_C_R,nom_A_c,nom_B_c,nom_C_c,delta_A_L,delta_B_L,delta_C_L,delta_A_R,delta_B_R,delta_C_R,delta_A_c,delta_B_c,delta_C_c
0,17.0,124.0,0.58364,27.0,124.0,0.06555,0.0,-0.00801,0.99997,0.0,-0.00021,1.0,10.0,0.0,-0.51809,10.013411868494174,0.007799989900147758,0.0,0.0,0.007799989900147758,0.07799989900147758,0.9999695796160788,0.4469110332682855,0.458943146788271,-0.0,0.0,0.012032113520875222,-0.0,0.0,90.0,-0.0,90.0,17.0,124.0,0.0,27.0,124.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,,,,0.458943146788271,0.0,0.0,0.012032113520875222,0.0,0.0,,,
1,17.0,121.98374,0.56522,27.0,121.98374,0.06494,0.0,-0.00849,0.99996,0.0,-0.00033,1.0,10.0,0.0,-0.50028,10.012506183688478,0.00816004506259368,0.0,0.0,0.00816004506259368,0.0816004506259368,0.9999667062780523,0.467541331464876,0.4864489380180345,-0.0,0.0,0.01890760655297107,-0.0,0.0,90.0,-0.0,90.0,17.0,121.98374,0.0,27.0,121.98374,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,,,,0.4864489380180345,0.0,0.0,0.01890760655297107,0.0,0.0,,,
2,17.0,119.96748,0.54723,27.0,119.96748,0.06438,0.0,-0.00915,0.99996,0.0,-0.00022,1.0,10.0,0.0,-0.48285,10.01165041951126,0.008929991955817753,0.0,0.0,0.008929991955817753,0.08929991955817754,0.9999601268268993,0.5116576506453164,0.5242627219330839,-0.0,0.0,0.012605071289516299,-0.0,0.0,90.0,-0.0,90.0,17.0,119.96748,0.0,27.0,119.96748,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,,,,0.5242627219330839,0.0,0.0,0.012605071289516299,0.0,0.0,,,
3,17.0,117.95122,0.5297,27.0,117.95122,0.06399,0.0,-0.00867,0.99996,0.0,-0.00014,1.0,10.0,0.0,-0.46570999999999996,10.010838416641235,0.008530026114311376,0.0,0.0,0.008530026114311376,0.08530026114311376,0.9999636186654439,0.48874042250979904,0.49676183158982706,-0.0,0.0,0.008021409079424984,-0.0,0.0,90.0,-0.0,90.0,17.0,117.95122,0.0,27.0,117.95122,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,,,,0.49676183158982706,0.0,0.0,0.008021409079424984,0.0,0.0,,,
4,17.0,115.93496,0.51193,27.0,115.93496,0.06394,0.0,-0.00881,0.99996,0.0,0.0,1.0,10.0,0.0,-0.44799,10.01002972223859,0.00881001049405025,0.0,-0.0,0.00881001049405025,0.08810010494050251,0.9999611911044821,0.5047829488152359,0.5047829488148463,-0.0,0.0,0.0,-0.0,0.0,90.0,-0.0,90.0,17.0,115.93496,0.0,27.0,115.93496,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,,,,0.5047829488148463,0.0,0.0,0.0,0.0,0.0,,,
5,17.0,113.9187,0.49388,27.0,113.9187,0.06349,0.0,-0.00919,0.99996,0.0,-0.00032,1.0,10.0,0.0,-0.43039,10.009257492546586,0.008869992575994459,0.0,0.0,0.008869992575994459,0.08869992575994459,0.9999606608420664,0.5082198032465023,0.5265544520657323,-0.0,0.0,0.01833464881836368,-0.0,0.0,90.0,-0.0,90.0,17.0,113.9187,0.0,27.0,113.9187,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,,,,0.5265544520657323,0.0,0.0,0.01833464881836368,0.0,0.0,,,
6,17.0,111.90244,0.47563,27.0,111.90244,0.0634,0.0,-0.00872,0.99996,0.0,0.00011,1.0,10.0,0.0,-0.41223,10.008493072031374,0.008830013030021636,0.0,-0.0,0.008830013030021636,0.08830013030021636,0.9999610146750171,0.5059290542854772,0.49962651856469903,-0.0,0.0,-0.006302535721018829,-0.0,-0.0,90.0,-0.0,90.0,17.0,111.90244,0.0,27.0,111.90244,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,,,,0.49962651856469903,0.0,0.0,-0.006302535721018829,0.0,-0.0,,,
7,17.0,109.88618,0.45821,27.0,109.88618,0.06322,0.0,-0.00874,0.99996,0.0,-0.00021,1.0,10.0,0.0,-0.39499,10.007797814709289,0.00853002361203185,0.0,0.0,0.00853002361203185,0.0853002361203185,0.999963618686789,0.4887402791361811,0.5007723926560053,-0.0,0.0,0.012032113520875222,-0.0,0.0,90.0,-0.0,90.0,17.0,109.88618,0.0,27.0,109.88618,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,,,,0.5007723926560053,0.0,0.0,0.012032113520875222,0.0,0.0,,,
8,17.0,107.86992,0.44044,27.0,107.86992,0.06297,0.0,-0.00886,0.99996,0.0,-0.0001,1.0,10.0,0.0,-0.37746999999999997,10.007121644154227,0.008760010520954325,0.0,0.0,0.008760010520954325,0.08760010520954326,0.9999616303717221,0.501918050827336,0.5076476287591898,-0.0,0.0,0.005729577932209639,-0.0,0.0,90.0,-0.0,90.0,17.0,107.86992,0.0,27.0,107.86992,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,,,,0.5076476287591898,0.0,0.0,0.005729577932209639,0.0,0.0,,,
9,17.0,105.85366,0.42244,27.0,105.85366,0.0626,0.0,-0.00891,0.99996,0.0,-0.0002,1.0,10.0,0.0,-0.35984,10.006472146845761,0.00871001048365995,0.0,0.0,0.00871001048365995,0.0871001048365995,0.9999620671392363,0.4990531504156285,0.5105123061654243,-0.0,0.0,0.011459155749827723,-0.0,0.0,90.0,-0.0,90.0,17.0,105.85366,0.0,27.0,105.85366,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,,,,0.5105123061654243,0.0,0.0,0.011459155749827723,0.0,0.0,,,
