index,act_x_L,act_y_L,act_z_L,act_x_R,act_y_R,act_z_R,delta_x,delta_y,delta_z,abstand,winkel_beta1_ausrichtung,winkel_beta2_maschine
0,17.0,124.0,0.58364,27.0,124.0,0.06555,10.0,0.0,-0.51809,10.013411868494174,92.96578537765896,-2.9657853776589604
1,17.0,121.98374,0.56522,27.0,121.98374,0.06494,10.0,0.0,-0.50028,10.012506183688478,92.86400550500008,-2.8640055050000797
2,17.0,119.96748,0.54723,27.0,119.96748,0.06438,10.0,0.0,-0.48285,10.01165041951126,92.76437971820278,-2.7643797182027754
3,17.0,117.95122,0.5297,27.0,117.95122,0.06399,10.0,0.0,-0.46570999999999996,10.010838416641235,92.6663951837897,-2.666395183789703
4,17.0,115.93496,0.51193,27.0,115.93496,0.06394,10.0,0.0,-0.44799,10.01002972223859,92.56507854867967,-2.565078548679665
5,17.0,113.9187,0.49388,27.0,113.9187,0.06349,10.0,0.0,-0.43039,10.009257492546586,92.46443213722206,-2.4644321372220617
6,17.0,111.90244,0.47563,27.0,111.90244,0.0634,10.0,0.0,-0.41223,10.008493072031374,92.36056739208873,-2.3605673920887256
7,17.0,109.88618,0.45821,27.0,109.88618,0.06322,10.0,0.0,-0.39499,10.007797814709289,92.26195014099478,-2.2619501409947844
8,17.0,107.86992,0.44044,27.0,107.86992,0.06297,10.0,0.0,-0.37746999999999997,10.007121644154227,92.16171748145337,-2.1617174814533655
9,17.0,105.85366,0.42244,27.0,105.85366,0.0626,10.0,0.0,-0.35984,10.006472146845761,92.06084214430726,-2.0608421443072586
10,17.0,103.8374,0.40505,27.0,103.8374,0.06246,10.0,0.0,-0.34259,10.005866674511509,91.96212871397152,-1.9621287139715236
11,17.0,101.82114,0.38671,27.0,101.82114,0.06269,10.0,0.0,-0.32402,10.005248070907587,91.85584855081784,-1.8558485508178393
12,17.0,99.80488,0.36935,27.0,99.80488,0.06173,10.0,0.0,-0.30762,10.004730384393174,91.76197712286762,-1.76197712286762
