index,act_d_x,act_d_y,act_d_z,act_c_x,act_c_y,act_c_z,act_dot_c_d,act_dot_n,act_A_L,act_B_L,act_C_L,act_A_R,act_B_R,act_C_R,act_A_c,act_B_c,act_C_c,act_actual_i_L,act_actual_j_L,act_actual_k_L,act_actual_i_R,act_actual_j_R,act_actual_k_R,nom_d_x,nom_d_y,nom_d_z,nom_c_x,nom_c_y,nom_c_z,nom_dot_c_d,nom_dot_n,nom_A_L,nom_B_L,nom_C_L,nom_A_R,nom_B_R,nom_C_R,nom_A_c,nom_B_c,nom_C_c,nom_nominal_i_L,nom_nominal_j_L,nom_nominal_k_L,nom_nominal_i_R,nom_nominal_j_R,nom_nominal_k_R
0,10.0,0.0,-0.51809,0.007799989900147758,0.0,0.0,0.07799989900147758,0.9999695796160788,0.458943146788271,-0.0,0.0,0.012032113520875222,-0.0,0.0,90.0,-0.0,90.0,0.0,-0.00801,0.99997,0.0,-0.00021,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,-0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0
1,10.0,0.0,-0.50028,0.00816004506259368,0.0,0.0,0.0816004506259368,0.9999667062780523,0.4864489380180345,-0.0,0.0,0.01890760655297107,-0.0,0.0,90.0,-0.0,90.0,0.0,-0.00849,0.99996,0.0,-0.00033,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,-0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0
2,10.0,0.0,-0.48285,0.008929991955817753,0.0,0.0,0.08929991955817754,0.9999601268268993,0.5242627219330839,-0.0,0.0,0.012605071289516299,-0.0,0.0,90.0,-0.0,90.0,0.0,-0.00915,0.99996,0.0,-0.00022,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,-0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0
3,10.0,0.0,-0.46570999999999996,0.008530026114311376,0.0,0.0,0.08530026114311376,0.9999636186654439,0.49676183158982706,-0.0,0.0,0.008021409079424984,-0.0,0.0,90.0,-0.0,90.0,0.0,-0.00867,0.99996,0.0,-0.00014,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,-0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0
4,10.0,0.0,-0.44799,0.00881001049405025,0.0,-0.0,0.08810010494050251,0.9999611911044821,0.5047829488148463,-0.0,0.0,0.0,-0.0,0.0,90.0,-0.0,90.0,0.0,-0.00881,0.99996,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,-0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0
5,10.0,0.0,-0.43039,0.008869992575994459,0.0,0.0,0.08869992575994459,0.9999606608420664,0.5265544520657323,-0.0,0.0,0.01833464881836368,-0.0,0.0,90.0,-0.0,90.0,0.0,-0.00919,0.99996,0.0,-0.00032,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,-0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0
6,10.0,0.0,-0.41223,0.008830013030021636,0.0,-0.0,0.08830013030021636,0.9999610146750171,0.49962651856469903,-0.0,0.0,-0.006302535721018829,-0.0,-0.0,90.0,-0.0,90.0,0.0,-0.00872,0.99996,0.0,0.00011,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,-0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0
7,10.0,0.0,-0.39499,0.00853002361203185,0.0,0.0,0.0853002361203185,0.999963618686789,0.5007723926560053,-0.0,0.0,0.012032113520875222,-0.0,0.0,90.0,-0.0,90.0,0.0,-0.00874,0.99996,0.0,-0.00021,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,-0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0
8,10.0,0.0,-0.37746999999999997,0.008760010520954325,0.0,0.0,0.08760010520954326,0.9999616303717221,0.5076476287591898,-0.0,0.0,0.005729577932209639,-0.0,0.0,90.0,-0.0,90.0,0.0,-0.00886,0.99996,0.0,-0.0001,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,-0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0
9,10.0,0.0,-0.35984,0.00871001048365995,0.0,0.0,0.0871001048365995,0.9999620671392363,0.5105123061654243,-0.0,0.0,0.011459155749827723,-0.0,0.0,90.0,-0.0,90.0,0.0,-0.00891,0.99996,0.0,-0.0002,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,-0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0
10,10.0,0.0,-0.34259,0.008700023234332886,0.0,-0.0,0.08700023234332886,0.9999621540817042,0.4910324502033124,-0.0,0.0,-0.007448451294741091,-0.0,-0.0,90.0,-0.0,90.0,0.0,-0.00857,0.99996,0.0,0.00013,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,-0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0
